ID,Author,average_rate,first_genre
0,Maja Ilisch,,
1,Wilkie Collins,,
2,Mervyn Peake,,
3,Peter S. Beagle,,
4,,,
5,Jennifer Quintenz,,
6,Audrey Niffenegger,,
7,Ursula K. Le Guin,,
8,Jane Yolen,,
9,Orson Scott Card,,
10,Ryann Kerekes,,
11,Jennifer L. Armentrout,,
12,Tammara Webber,,
13,Abbi Glines,,
14,Ella Price,,
15,Amanda Hocking,,
16,Janet Evanovich,,
17,H. M Ward,,
18,Ken  Doyle,,
19,Jhumpa Lahiri,,
20,Isaac Asimov,,
21,Charles Dickens,,
22,Colleen  Curran,,
23,William Tester,,
24,Paul   Butcher,,
25,Dave Thomas,3.52,fantasy
26,Andy Hunt,,
27,Bruce Tate,,
28,Deborah McClatchey,,
30,Christopher Meades,,
31,Patrick Suskind,,
32,Vladimir Nabokov,,
33,Edward T. Yeatts III,,
34,The Wire,,
35,STAR WARS,,
36,Star Trek,,
37,Denis Caron,,
38,Jeph Jacques,,
39,Jon Rosenberg,,
40,Joss Whedon,,
41,Rob  May,,
42,Terry Pratchett,,
43,Michael Crichton,,
44,J.R.R. Tolkien,,
45,Ian Fleming,,
46,Tommaso Pincio,,
47,Thomas Pynchon,,
48,Seymour Simon,,
49,Rachel Carson,,
50,ee cummings,,
51,May Swenson,,
52,Mary Oliver,,
53,Edwin Way Teale,3.93,fantasy
54,Jennifer M. Eaton,,
55,George Lucas,,
56,Robert Jordan,,
57,Ian Kharitonov,,
58,Frederick Forsyth,,
59,David Morrell,,
60,Robert Ludlum,3.71,contemporary
61,Clive Cussler,,
62,Chicki Brown,,
63,J.R. Ward,,
64,Suzanne Brockmann,,
65,Eric Jerome Dickey,,
66,Beverly Jenkins,,
67,Nia Forrester,,
68,Lisa N. Paul,,
69,Michael and Brenda Pink,,
70,Lexi Blake,,
71,Kristen Ashley,,
72,Lori Foster,,
73,Sarah Ashwood,,
75,S.R. Torris,,
76,Toni Morrison,,
77,Stephen King,,
78,J.H. Glaze,,
79,William C. Dietz,,
80,Jeffrey Thomas,,
81,Whitley Strieber,,
82,David Wong,,
83,Douglas Corleone,,
84,John Lescroart,,
85,Scott Turow,,
86,John Grisham,,
87,Ken Bruen,,
88,Elmore Leonard,,
89,Joe Peta,,
90,Bill James,,
91,Warren Buffett,,
92,Michael Lewis,4.18,fantasy
93,Pat Conroy,,
94,Sandra Yvette Desjardins,,
95,V.C. Andrews,,
96,Anne Rice,,
97,Dean Koontz,,
98,Johanna Lindsey,,
99,Matthew Leeth,,
100,Lois Duncan,,
101,R.L. Stine,,
102,Doyce Testerman,,
103,Neil Gaiman,3.51,fiction
104,Roger Zelazny,,
105,Anaru Bickford,,
106,Willa Cather,,
107,Frank Herbert,3.47,fiction
108,Rebecca Grace Allen,,
109,Maggie Stiefvater,,
110,Ashley Warlick,,
111,Charlotte Stein,,
112,Ruthie Knox,,
113,Kristi Petersen Schoonover,,
115,Koji Suzuki,,
116,Haruki Murakami,,
117,Edgar Allan Poe,,
118,Shirley Jackson,,
119,Derek Prior (D.P.Prior),,
120,Harry Harrison,,
121,L. Sprague de Camp,,
122,Lin Carter,,
123,Edgar Rice Burroughs,,
124,David Gemmell,,
125,Peter Koevari,,
126,Anne Bishop,,
127,Robin Hobb,,
128,Lydia Koidula,,
129,Carl Robert Jakobson,,
130,Johann Voldemar Jannsen,,
131,Friedrich Reinhold Kreutzwald,,
132,Jan L. Coates,,
133,Kate DiCamillo,,
134,Katherine Paterson,,
135,Katherine Applegate; Kathi Appelt; Gary L. Blackwood,,
136,Alex Severin,,
137,Clive Barker,,
138,Giordano Bruno,,
139,Nicolaus Cusanus,,
140,Kristy Shen,,
142,Jack Wallen,,
143,Douglas Coupland,,
144,Ed Lee,,
145,E. Paul Zehr,,
146,James Kakalios,,
147,Stephen Jay Gould,,
148,Carl Sagan,,
149,Iza Moreau,,
150,Sarah Waters,,
151,Maggie Estep,,
152,Judy Mandel,,
154,Mary Karr,,
155,Truman Capote,,
156,Margaret Atwood,,
157,William Styron,,
158,Holly Lynn Payne,,
159,Paulo Coelho,,
160,Beverly Gray,,
161,Roger Corman,3.72,non fiction
162,Jane    Davis,,
163,Maggie O'Farrell,,
164,John Irving,,
165,Alan Garner,,
166,Stewart Home,,
167,Groucho Marx,,
168,Karl Marx,,
169,Clemy Warner-Thompson,,
170,Roloff Family,,
171,Vera Roberts,,
172,Jackie Collins,,
173,George R.R. Martin,,
174,Sidney Sheldon,,
175,Guillermo Arriaga,,
176,Martín Luis Guzmán,,
177,Ernest Hemingway,,
178,Pío Baroja,,
179,Willam Faulkner,,
180,David  Leite,,
181,Jeffery Steingarten,,
182,David Sedaris,,
183,Marisa McClellan,,
184,Amanda Hesser,,
185,Ruth Reichl,,
186,Laurie Colwin,,
187,Ciara Geraghty,,
189,Andrew Van Wey,,
190,H.P. Lovecraft,,
191,Jack Ketchum,,
192,R.A. Evans,,
193,Michael Slade,4.35,horror
194,Peter Straub,,
195,Pierre Andrézel,,
196,Isak Dinesen,,
197,Karen Blixen,,
198,Natalie K. Martin,,
199,Adele Parks,,
200,Jane Green,,
201,Tara Eglington,,
202,Susan Juby,,
203,Catherine Jinks,,
204,Meg Cabot,,
205,Jaclyn Moriarty,,
206,Edie Ramer,,
207,Michelle Diener,,
208,Dick Francis,,
209,J.K. Rowling,,
210,Jayne Ann Krentz,,
211,Jane Austen,,
212,Katherine Owen,,
213,Dylan Landis,,
214,Gillian Flynn,,
215,Alec Birri,,
216,Friedrich Nietzsche,3.43,comedy
217,Richard Dawkins,,
218,Philip K Dick,,
219,Aldous Huxley,,
220,John Bagot Glubb,,
221,George Orwell,,
222,Claire Cray,,
223,Iris Owens,,
224,Mary Gaitskill,4.08,fantasy
225,Hans Christian Andersen,4.8,art
226,Mary Shelley,,
227,Arthur Rimbaud,,
228,Giovanni Arrighi,,
229,Paul A. Baran,,
230,Karl Polanyi,,
231,Fernand Braudel,,
232,Antonio Gramsci,,
233,Brittany Geragotelis,,
234,Stacey Jay,,
235,Jackson Pearce,,
236,Gemma Metcalfe,3.88,fantasy
238,Pamela Beason,,
239,Jodi Picoult,,
240,Sue Grafton,,
241,Sandi Ault,,
242,C.J. Box,,
243,Nevada Barr,3.58,fiction
244,Nicole Loughan,,
245,Allen Edgar Poe,,
246,Charlaine Harris,,
247,Rich Zahradnik,,
248,Philip Kerr,,
249,Raymond Chandler,,
250,William Gibson,,
251,Ray Bradbury,,
252,Tony Hillerman,,
253,Michael Connelly,,
254,Mindy Quigley,,
255,Julia Spenser-Fleming,,
256,Agatha Christie,,
257,Stephanie Jaye Evans,,
258,Cory Archie,,
259,Octavia E. Butler,,
260,Philip K. Dick,,
261,J.D. Salinger,,
262,Samuel W. Gailey,,
263,Scott B. Smith,,
264,Charlie Huston,,
265,Alice Sebold,,
266,Russell Banks,,
267,Larry Brown,,
268,Abd. Gafur,,
270,Shann Ray,,
271,Victor Hugo,,
272,Anne Sexton,,
273,Auguste Rodin,,
274,Sandra Alcosser,,
275,Vincent van Gogh,,
276,Santiago Eximeno,,
277,Raymond Carver,,
278,Jeff Garvin,,
279,Cormac McCarthy,,
280,Dr. Seuss,,
281,Tracy Hickman,,
282,Margaret Weis,,
283,Robert Heinlein,,
284,John Green,3.94,children
285,Shane Jiraiya Cummings,,
286,Candace Knoebel,,
287,Harry Potter,,
288,Brian McNaughton,,
289,Erin  Butler,,
290,Lisa Shea,,
291,Kate Hilton,,
292,Nick Hornby,,
293,Nora Ephron,,
294,John Zerzan,,
296,Henry David Thoreau,,
297,Theodor W. Adorno,,
298,Jacques Camatte,,
299,Theodore Kaczynski,,
300,Caitlen Rubino-Bradway,,
301,Jessica Day George,,
302,Gaurav Dashputra,,
303,Alfonso María de Liguori,4.0,fantasy
304,Augustine of Hippo,,
305,Ambrose of Milan,,
306,Victoria A. Fromkin,,
307,Noam Chomsky,,
308,John T. Fuller,,
309,Sir Arthur Conan Doyle,,
310,Mark Gatiss,,
311,Ellyn Oaksmith,,
312,Oprah Winfrey,,
313,Maya Angelou,,
314,Harper Lee,,
315,Susan Schild,,
316,Susan MalleryI8716,,
317,Jenny Colgan,,
318,Katie Fforde,,
319,Sarah Jio,,
320,Elin Hilderbrand,,
321,Jan Karon,,
322,Patti Callahan Henry,,
323,Mary Alice Monroe,,
324,Dorothea Benton Frank,,
325,Mary Kay Andrews,,
326,Elaine Neil Orr,,
327,Flannery O'Connor,,
328,Sena Jeter Naslund,,
329,Henry James,,
330,Welwyn Wilton Katz,,
331,J.R.R.Tolkien,,
